Category,Item_Code,Price,Quantity,Source,Price_with_30_percent_markup
36,wa,0.286,7102,V2,0.37179999999999996
36,wa,0.292,1,V2,0.3796
36,wa,0.3,1,V2,0.39
36,wa,0.315,618,V2,0.40950000000000003
36,wa,0.336,59999,V2,0.4368
36,wa,0.35,1,V2,0.45499999999999996
36,wa,0.52,23552,V2,0.676
36,wa,0.626,20656,V2,0.8138000000000001
36,wa,0.693,128,V2,0.9008999999999999
36,wa,0.702,5,V2,0.9126
36,wa,1.067,9518,V2,1.3871
36,li,0.004,223,V2,0.005200000000000001
36,li,0.011,96922,V2,0.0143
36,li,0.02,200,V2,0.026000000000000002
36,li,0.046,99016,V2,0.0598
12,tw,0.012,27645,V2,0.015600000000000001
12,tw,0.019,733,V2,0.0247
12,tw,0.02,200,V2,0.026000000000000002
12,tw,0.054,1,V2,0.0702
12,tw,0.126,55054,V2,0.1638
12,tw,0.127,99846,V2,0.1651
12,tw,0.14,200,V2,0.18200000000000002
12,tw,0.143,174520,V2,0.18589999999999998
12,vi,0.004,20721,V2,0.005200000000000001
12,vi,0.012,99322,V2,0.015600000000000001
12,vi,0.02,50212,V2,0.026000000000000002
12,vi,0.031,200,V2,0.0403
12,vi,0.124,51257,V2,0.1612
12,vi,0.134,128581,V2,0.17420000000000002
12,wa,0.308,18611,V2,0.40040000000000003
12,wa,0.31,94636,V2,0.403
12,wa,0.4,200,V2,0.52
12,wa,0.65,44252,V2,0.8450000000000001
12,wa,1.358,83731,V2,1.7654
12,wa,2.118,25657,V2,2.7534
12,tg,0.32,12031,V2,0.41600000000000004
12,tg,0.334,90899,V2,0.43420000000000003
12,tg,0.4,200,V2,0.52
12,tg,0.415,200,V2,0.5395
12,tg,0.427,340,V2,0.5551
12,tg,0.436,938,V2,0.5668
12,tg,0.623,217,V2,0.8099000000000001
12,tg,1.07,2144,V2,1.3910000000000002
12,tg,1.208,5,V2,1.5704
12,tg,1.224,46745,V2,1.5912
12,tg,1.328,53186,V2,1.7264000000000002
12,ig,0.04,86282,V2,0.052000000000000005
12,ig,0.054,2,V2,0.0702
12,ig,0.067,400,V2,0.08710000000000001
12,ig,0.068,648,V2,0.0884
12,ig,0.08,62719,V2,0.10400000000000001
12,ig,0.084,986,V2,0.1092
12,ig,0.123,40020,V2,0.15990000000000001
12,ig,0.2,9128,V2,0.26
12,fb,0.028,69927,V2,0.0364
12,fb,0.04,6992,V2,0.052000000000000005
12,fb,0.047,200,V2,0.0611
12,fb,0.051,200,V2,0.0663
12,fb,0.054,2,V2,0.0702
12,fb,0.114,908,V2,0.1482
12,fb,0.116,54695,V2,0.15080000000000002
12,fb,0.126,97452,V2,0.1638
12,fb,0.127,607,V2,0.1651
12,fb,0.167,20957,V2,0.21710000000000002
15,fb,0.054,1,V2,0.0702
15,fb,0.059,96,V2,0.0767
15,fb,0.067,712,V2,0.08710000000000001
15,fb,0.074,37,V2,0.0962
15,fb,0.087,1,V2,0.11309999999999999
15,fb,0.098,7,V2,0.1274
15,fb,0.139,1602,V2,0.18070000000000003
15,fb,0.146,1,V2,0.1898
15,fb,0.467,1,V2,0.6071000000000001
15,fb,0.534,2298,V2,0.6942
15,fb,0.827,242,V2,1.0751
15,fb,0.835,4718,V2,1.0855
15,vi,0.004,483,V2,0.005200000000000001
15,vi,0.014,7,V2,0.0182
15,vi,0.015,1256,V2,0.0195
15,vi,0.055,1848,V2,0.07150000000000001
15,vi,0.116,2,V2,0.15080000000000002
15,vi,0.223,4304,V2,0.2899
15,vi,0.267,1,V2,0.3471
15,vi,0.69,5114,V2,0.8969999999999999
15,vi,1.02,15,V2,1.326
15,vi,1.25,3783,V2,1.625
15,tg,0.942,2,V2,1.2246
15,tg,1.085,4,V2,1.4105
15,tg,1.367,2,V2,1.7771000000000001
15,tg,2.239,3100,V2,2.9107
15,tg,2.339,1146,V2,3.0407
15,tg,2.428,3488,V2,3.1564
15,tg,2.912,4292,V2,3.7856
15,tg,2.942,100,V2,3.8246
15,tg,3.258,1,V2,4.2354
15,tg,3.684,114,V2,4.7892
15,ig,0.054,2,V2,0.0702
15,ig,0.055,7,V2,0.07150000000000001
15,ig,0.059,452,V2,0.0767
15,ig,0.063,7,V2,0.0819
15,ig,0.067,908,V2,0.08710000000000001
15,ig,0.098,1,V2,0.1274
15,ig,0.116,1,V2,0.15080000000000002
15,ig,0.135,2796,V2,0.17550000000000002
15,ig,0.267,1,V2,0.3471
15,ig,0.488,3606,V2,0.6344
15,ig,0.752,2931,V2,0.9776
15,tw,0.006,612,V2,0.0078000000000000005
15,tw,0.007,98,V2,0.0091
15,tw,0.008,1295,V2,0.010400000000000001
15,tw,0.014,1842,V2,0.0182
15,tw,0.04,7,V2,0.052000000000000005
15,tw,0.054,1,V2,0.0702
15,tw,0.098,2,V2,0.1274
15,tw,0.134,4298,V2,0.17420000000000002
15,tw,0.2,1,V2,0.26
